quadgram	frequency
to her own mind	3
the helmet from his	3
as they beheld them	3
by the waves of	3
the spear stuck in	3
us go to bed	3
round to call the	3
one of the servants	3
your own house and	3
me to do so	3
belonging to the sun	3
when she had completed	3
can hold his own	3
was great over all	3
get the achaeans instantly	3
the shield of ajax	3
is it that you	3
so long been missing	3
and it was still	3
the ship into the	3
when he reached the	3
do not yet know	3
a footstool also under	3
many a time did	3
bring matters to an	3
as well as i	3
great strength and endurance	3
would not let them	3
the tramp of their	3
if you would have	3
princes and councillors of	3
the argives raised a	3
the son of a	3
and a sorry wedding	3
her hand in his	3
and that they may	3
could fly like the	3
not in favour of	3
ships of the danaans	3
from the day ulysses	3
there is a high	3
the man who had	3
call the people in	3
can string the bow	3
it will be better	3
and it is not	3
nor sailors to take	3
going from left to	3
as they had been	3
the achaean heroes in	3
ever yet came to	3
the tents of the	3
she said to her	3
and shoot through the	3
with tears and he	3
thus did the two	3
any one else would	3
him in a thick	3
helmet from his head	3
in the semblance of	3
all day long the	3
heaven robbed me of	3
to stay here and	3
do your very utmost	3
to call the people	3
one who is in	3
forth to the ships	3
the feast was ready	3
son of atreus and	3
of heaven was against	3
but they would not	3
great web all day	3
bed each in his	3
sprang on to his	3
whither he might fly	3
first and mightiest of	3
i want to go	3
me and spare me	3
i made sure that	3
son of saturn sent	3
shield of the son	3
laid their cloaks on	3
the house of alcinous	3
live but for a	3
this is what will	3
i will do all	3
body of his men	3
see you any more	3
time when death shall	3
him to his own	3
roasted them till they	3
let us obey the	3
who was at once	3
death of his comrade	3
and muttered to himself	3
from his own country	3
the hand of achilles	3
way off upon the	3
us draw a ship	3
to the ship and	3
the gleam of armour	3
go at once to	3
have all of you	3
that i had been	3
thighs with the flat	3
a hue and cry	3
the spear struck the	3
let us draw a	3
off the ground and	3
at one another with	3
and all other achaeans	3
clouded with care as	3
the sands of the	3
the rest of you	3
to him of all	3
point of his spear	3
a prey to the	3
he spoke he sprang	3
that i shall not	3
for a little season	3
spoke fondly to him	3
day waxed and it	3
i turned back to	3
the rebuke of their	3
up in a rage	3
out of the fray	3
can labour no more	3
not have come by	3
tear him in pieces	3
him away from the	3
the loss of my	3
soon as he saw	3
would have gone down	3
you are and where	3
and a couple of	3
fool that he was	3
not well that you	3
and both his beautiful	3
for he is far	3
it is decreed that	3
killed many of us	3
you who are the	3
suitors she stood by	3
the lord of counsel	3
thus then did they	3
wakes them just as	3
if you do not	3
in full armour to	3
the gods who dwell	3
it in my mind	3
close up to her	3
foremost of the achaeans	3
went down into the	3
father of gods and	3
between the shoulders and	3
his head and the	3
do as you have	3
priam would then soon	3
he put on the	3
clutched the earth in	3
go on board at	3
son of tydeus from	3
yet bring matters to	3
in the temple of	3
tents and ships of	3
dust from off the	3
with the help of	3
further me on my	3
and said to diomed	3
stripped him of his	3
and with many a	3
and spoke fondly to	3
though he be not	3
a sword and a	3
to hades of the	3
battle with the trojans	3
to your own house	3
he lifted up his	3
one else in the	3
began to fail him	3
a mound over his	3
took their places and	3
without so much as	3
for he was very	3
do as you will	3
place will talk if	3
to give victory to	3
they both of them	3
if he is laid	3
to the ships as	3
of the same age	3
him a shirt and	3
by the sea side	3
his spear in his	3
and said to his	3
my ships in the	3
was in a furious	3
about the son of	3
laid out without a	3
fighters in close combat	3
thus did she speak	3
can tell you that	3
on the trojans and	3
burden of his sorrows	3
all that i have	3
with hector at their	3
went round the town	3
no one in the	3
and where you come	3
of gold and bronze	3
kills every one that	3
give way before him	3
the stern of his	3
the body of her	3
mixed them a mess	3
they had completed their	3
of trojans and achaeans	3
to tell her that	3
and made them fast	3
am not in favour	3
a spear at him	3
among the other gods	3
and when they were	3
never yet been on	3
one another in their	3
though he were diving	3
up his hands and	3
the dust until the	3
them man by man	3
and with him there	3
head he set a	3
a time did he	3
when he saw this	3
one of them left	3
to one or to	3
and the man who	3
and the women of	3
and one can hear	3
to leave off crying	3
live in everlasting bliss	3
through whom this quarrel	3
will take nothing by	3
i have come here	3
you will have to	3
victory to one or	3
to be the better	3
said to the son	3
who was the finest	3
the other side the	3
hereafter we will fight	3
with spears at a	3
said to his son	3
say what you want	3
and this was the	3
divided counsels among the	3
which he seals men	3
and the trojans the	3
lord of the storm	3
to break through the	3
heaven decide between us	3
the heat of the	3
for i have been	3
the point of his	3
he took his place	3
two talents of gold	3
hid him in a	3
and by the waves	3
the destruction of the	3
set him on to	3
both old and young	3
do it for you	3
he can not fight	3
bronze about his shoulders	3
is an excellent person	3
took them from the	3
even so did these	3
which he had risen	3
every man of them	3
to give glory to	3
stern of his ship	3
hellas and middle argos	3
far as a man	3
spear stuck in his	3
he bound his sandals	3
when he went away	3
a dark cloud of	3
a hecatomb of firstling	3
men fighting about the	3
him so that he	3
pieces upon the spits	3
of the noble steeds	3
i will now go	3
and councillors of the	3
would that he had	3
from the city and	3
for the chiefs from	3
all night long did	3
end wall of the	3
here by the ships	3
thoas son of andraemon	3
in her own room	3
and get news of	3
like a flame of	3
other of the immortals	3
and stuck in the	3
and then let each	3
them with woollen cloaks	3
scowled at him and	3
soon as i have	3
and stay where they	3
sent me off into	3
to the temple of	3
suppliant at your knees	3
spoke he drew the	3
ordering of your servants	3
the door of the	3
and hit him on	3
upon the top of	3
he spoke he took	3
company was led by	3
men who had been	3
but now they have	3
i am in the	3
she went to the	3
and it will be	3
is what he said	3
what they should do	3
when the trojans saw	3
neither rich nor poor	3
hands and his feet	3
him to the ships	3
and strong as when	3
whether or no to	3
might have known that	3
gone down upon their	3
looked round about to	3
and hurled it from	3
let him who shall	3
you do not visit	3
with the tramp as	3
part in the war	3
were struck with awe	3
and the people gathered	3
and away from the	3
i can not help	3
but do you others	3
when the servants had	3
who were about the	3
the earth with his	3
as though they had	3
top of them with	3
the ranks of heroes	3
can not have come	3
whose counsel was ever	3
he saw that the	3
long as he lives	3
were in the front	3
as time wore on	3
to come to the	3
fools that they were	3
had made their drink	3
and his saying pleased	3
while he put on	3
their places in the	3
but i will tell	3
body of him whom	3
in his own land	3
he had given his	3
whose sake so many	3
in the time of	3
had been given to	3
was captain of the	3
and find out whether	3
from the summits of	3
rallied and again faced	3
would be the best	3
that was lying upon	3
some god must have	3
by reason of his	3
he hurled his spear	3
him who would have	3
to keep guard over	3
with care as i	3
the death of me	3
for you at once	3
took him to the	3
the heads of the	3
which the old man	3
it can be done	3
swiftest of all birds	3
as they did so	3
sprang forth out of	3
sword about his shoulders	3
or aiming with spears	3
through the gates and	3
are lying in wait	3
to take his revenge	3
no life left in	3
sent the criers round	3
of bronze about his	3
while he was yet	3
it would be best	3
made all haste to	3
his revenge upon the	3
richly decorated seat inlaid	3
he wagged his head	3
foot and in fight	3
had not yet heard	3
to try and find	3
will give me a	3
for a while and	3
the course of time	3
the people in assembly	3
can be done at	3
her dear husband till	3
up to him with	3
those who were about	3
one can hear the	3
cut my head off	3
ends of the world	3
the city of neleus	3
this quarrel has come	3
heifers that have never	3
and began to question	3
wish i were as	3
whether or no you	3
spears at one another	3
he speak and they	2
to the aeolian island	2
against the will of	2
for she had heard	2
sprang furiously upon him	2
of the next he	2
take back to the	2
them as he did	2
as kind to me	2
was a man born	2
one of your men	2
egyptians killed many of	2
her room looking like	2
and king agamemnon was	2
and quit this house	2
because you beat the	2
so that all the	2
city under a high	2
his horses and said	2
with the wife of	2
punishes those who do	2
far stronger i am	2
troy and my dear	2
tents of ajax son	2
it was returning from	2
of the river xanthus	2
doubt not that i	2
thetis came to the	2
an island sorrowing bitterly	2
though he were his	2
of mail which the	2
the wine been getting	2
all ten years to	2
do us a mischief	2
her on to the	2
are eating up my	2
up behind the horses	2
shall be the worse	2
talents of fine gold	2
take me to the	2
all had then been	2
these cowards would usurp	2
been lost and no	2
his right hand and	2
want to go away	2
have escaped death though	2
balanced his golden scales	2
lifting up his hands	2
angry than them all	2
strong enough to string	2
such is the will	2
about it than any	2
quick for him and	2
let her do so	2
with sword and spear	2
you have nothing to	2
skilled in all useful	2
ten years to heal	2
serviceable suggestions to the	2
in sleep or wakes	2
will tell you about	2
shall be no man	2
pity upon me and	2
after having held aloof	2
for you are many	2
the captains of the	2
after much hardship reach	2
takes to his chariot	2
came pouring from the	2
among the host of	2
lifted him off the	2
with gifts as though	2
as he lay groaning	2
with the foremost of	2
the immortals it is	2
try to keep me	2
wanted to go to	2
came up to us	2
up and said to	2
the ship was by	2
told them to catch	2
and sleep in some	2
gave him no heed	2
back with him to	2
on the levelled ground	2
and went along by	2
springs of rivers and	2
did when he was	2
huge black hull of	2
sheep belonging to the	2
the down just coming	2
other of those who	2
the house of eetion	2
dead whom achilles had	2
minerva put courage into	2
their feet as they	2
in the strong city	2
shield before his breast	2
can scare me as	2
me to the ships	2
swear a great oath	2
up their ships at	2
as they flew over	2
have ever fought desperately	2
thing to hear a	2
it with prodigious force	2
people to use them	2
a little of hitting	2
the first and mightiest	2
oaths and to attack	2
he came down from	2
be victorious and prove	2
suitors are lying in	2
beds in the room	2
ravaged the land of	2
him to the arms	2
them went back to	2
behests of night may	2
chiefs and rulers of	2
had come back to	2
us from being able	2
as he said this	2
with grief for the	2
is no help for	2
deemed it would be	2
but when an old	2
no part in the	2
i take it the	2
the contest to an	2
mixed wine and water	2
the loss of much	2
these instructions to the	2
took their places on	2
he was as one	2
as he had been	2
he went straight to	2
would not let her	2
property in some cave	2
whom you have named	2
they will not listen	2
you left the battle	2
ready for me at	2
in spite of everything	2
cried with a loud	2
both of you to	2
sword and spring upon	2
a plant in a	2
and bury our city	2
up their hands to	2
this he lashed his	2
vain from the strong	2
one side and then	2
a mark on the	2
for pallas minerva had	2
let you have your	2
to the swineherd who	2
twelve strong horses that	2
sword and a spear	2
thesprotian ship sailing for	2
would not let me	2
take pity on the	2
for he longed to	2
a little on one	2
you so bid us	2
jove will be angry	2
and no help for	2
with fire flashing from	2
the one hand towards	2
with his wedded wife	2
up with the waste	2
a ransom for his	2
spoken in good earnest	2
tell me in all	2
that i should not	2
the suitors were throwing	2
his head were crushed	2
not know what to	2
up in a body	2
as i have given	2
it so please you	2
the space between the	2
should drive a spear	2
she would or no	2
and must not refuse	2
as often as he	2
to the quantity of	2
the rear of the	2
it so long as	2
the same time to	2
hovered over her head	2
stones and made fast	2
him from close at	2
take the life of	2
they can not defend	2
uproar as of men	2
is being nurtured in	2
who is being nurtured	2
over him and cried	2
than i do you	2
in the defence of	2
archer has wounded him	2
no doing of mine	2
the funeral rites of	2
with them that they	2
matter who he might	2
growing island of dulichium	2
of the achaeans as	2
gods and men was	2
it fast with the	2
fallen into the hands	2
and his mouth and	2
him who shall be	2
dwell there are rich	2
house as he did	2
and broke the bone	2
was of the same	2
in curls like hyacinth	2
come when mighty ilius	2
first and i will	2
you appear to be	2
than this if you	2
at once if i	2
took the reins in	2
forced labour for them	2
years to heal the	2
dogs and vultures shall	2
so long as my	2
astonished at seeing them	2
iphitus the son of	2
for any present you	2
on to a clear	2
he stood still and	2
board and sailed their	2
am going to ask	2
euryclea left the cloister	2
to light the fire	2
if you can gain	2
sacrifice twelve yearling heifers	2
all the world how	2
shield stayed it not	2
of the blessed sun	2
then jove spread panic	2
the pair of them	2
the sound of their	2
days and two nights	2
and either join the	2
cover of his comrades	2
the egyptians killed many	2
heifer of a year	2
dead sadly and silently	2
turning his horses in	2
and accept a ransom	2
saw it with your	2
many of them as	2
i am giving these	2
nevertheless the issue lies	2
have not slept with	2
she said to him	2
as he had bidden	2
about the host and	2
on with your voyage	2
and at that moment	2
and kissed the bounteous	2
gnawing at your own	2
by upon his right	2
time for you to	2
should never grow old	2
outlines of the mountains	2
heaven robbed you of	2
often hear things in	2
offering before they set	2
they found themselves surrounded	2
the dust while he	2
cloak of good wear	2
soiled and begrimed with	2
have my skill in	2
quit this house of	2
achaeans to free his	2
went straight through the	2
a spear into the	2
applause at the words	2
in their strong hands	2
of nothing but of	2
dear father and mother	2
part of the shoulder	2
ever did you loyal	2
went off to the	2
a husband and provide	2
i heard the voice	2
to his ruing bitterly	2
i do not want	2
of his knees and	2
mighty diomed son of	2
of the fight between	2
the achaeans to ransom	2
shed sweet sleep over	2
them their ambrosial forage	2
him a great ransom	2
losing all your men	2
to set beds in	2
he then went in	2
been killing the suitors	2
he was not alone	2
double cup in the	2
plunder the bodies of	2
great his quarrel may	2
however strong and in	2
the armour from their	2
and not one of	2
can not escape your	2
in the morning if	2
camped upon the beach	2
come back to her	2
that he may do	2
all we gods proceed	2
our guest on his	2
mind to do so	2
point out to you	2
yoked his fleet horses	2
son of atreus came	2
will not be offended	2
him down upon the	2
treated him as though	2
that the hand of	2
could take no hold	2
at their tents and	2
if it may so	2
did she speak and	2
had had to eat	2
and set him down	2
be all over with	2
beneath the wheels of	2
went all alone by	2
the precincts of the	2
from off his shoulders	2
the loveliest after helen	2
thus saved his life	2
dwell among the immortals	2
spunging upon one man	2
hand the sceptre of	2
were bringing the holy	2
they had come inside	2
whirling clouds of dust	2
other some harm which	2
priest and taking the	2
who had perished with	2
with them to the	2
they kept pouring on	2
bad end before the	2
as also all the	2
who see you shall	2
son of peleus brought	2
even so fell the	2
bethought him of another	2
to catch hold of	2
came out at daybreak	2
and the one who	2
doing to the ship	2
ship with gold and	2
his two brawny hands	2
if he is still	2
and flow down in	2
trojans were fighting about	2
she is going to	2
bow and his quiver	2
come when we achaeans	2
for him at the	2
good will from me	2
i have trouble enough	2
on the ground and	2
able to tell his	2
both hands before him	2
public opinion and the	2
set upon the trojans	2
them that i may	2
i said i would	2
at the same moment	2
they might make a	2
each of them to	2
through the press of	2
the gates of hell	2
spread the white sails	2
gate of the outer	2
to the part where	2
hard matter to take	2
as a plant in	2
leaned the chariot against	2
we may begin fighting	2
not slept with one	2
much people at the	2
him and drove a	2
is of noble birth	2
were as sure of	2
and took their seats	2
but i am in	2
in my favour and	2
the act of undoing	2
we sailed sadly on	2
that the gods are	2
to boot as no	2
a spear in the	2
and sent him with	2
the achaeans stood firm	2
space between the hosts	2
if you harm them	2
on in a body	2
him who are of	2
eyes behold a great	2
do as i tell	2
the mules and horses	2
property with such dangerous	2
of night may not	2
with you in full	2
and in my present	2
rebuked him and said	2
lions or wild boars	2
hand of heaven was	2
breaks loose and gallops	2
where it was exposed	2
arms sometimes tempts people	2
hold of him by	2
them and cheered them	2
will make it all	2
way to the town	2
breed that comes from	2
him off the field	2
will have better times	2
say a word about	2
sprang upon me too	2
they passed the night	2
off his hands and	2
their dead sadly and	2
laid his hand on	2
of them to his	2
nothing of the kind	2
apollo would not suffer	2
though i go to	2
you are my own	2
and was honoured among	2
a bard also to	2
back towards the city	2
through sheer exhaustion are	2
to their ships and	2
will offer her up	2
a wallet full of	2
i should have made	2
sitting in the depths	2
and set cups of	2
will make serviceable suggestions	2
killed him because he	2
dodona that he might	2
token which can not	2
chief of the taphians	2
we may make drink	2
him on the head	2
sandals about his comely	2
not say a word	2
tell me about the	2
with a message to	2
it was as though	2
after losing all your	2
facile speaker of the	2
and how carefully aeaean	2
man that i am	2
he spoke the trojans	2
fire and brimstone as	2
been in many a	2
laid him low by	2
will gild her horns	2
who is so much	2
it clean in two	2
wall all round it	2
like a god for	2
killed him then and	2
lying at the ships	2
killing great numbers of	2
was sitting near him	2
it would be better	2
telemachus bound on his	2
will drive him from	2
other of the trojans	2
to the young men	2
by the huge black	2
and dardanians good in	2
will return in this	2
could not pierce it	2
meadows of green grass	2
and when you have	2
man at the ships	2
for i see mischief	2
men that dwell there	2
and sailed their ways	2
days had been accomplished	2
glorified him about the	2
when he had taken	2
back to their ships	2
whether he should let	2
for it is not	2
hear me at once	2
for their pride and	2
he might learn jove	2
him low by the	2
though your men are	2
the cloister where the	2
manner of meats and	2
she could not persuade	2
next he will be	2
once went up to	2
lovely as a goddess	2
presence of you all	2
ship into the sea	2
trusting to their own	2
he did so to	2
on either side the	2
on the other towards	2
shield rang out as	2
that he is coming	2
trench and the set	2
we did not know	2
drove a spear into	2
when she reached her	2
rolling in the dust	2
but the rest of	2
are devouring your substance	2
beat them with his	2
and they would no	2
told the servants to	2
went wondering back into	2
we had made sure	2
on far in front	2
must have been doing	2
nor never will be	2
wielder of the lightning	2
this she led the	2
and the sea grew	2
thus did they fight	2
his chariot and took	2
man that he should	2
noise of the men	2
to turn his horses	2
what had happened to	2
with me that i	2
room of the house	2
the ground with the	2
eyes upon him myself	2
much think they will	2
end of the rudder	2
his shoulders should dock	2
rest of the trojans	2
see you not how	2
a bastard son of	2
the heart of argos	2
we must see that	2
for heaven has blessed	2
struck to the heart	2
in the art of	2
the hair grow thick	2
that it should be	2
of one who is	2
eurypylus the brave son	2
that i shall come	2
the sons of nestor	2
raiment than he would	2
pour from ships and	2
are a man of	2
them in the semblance	2
to the gods as	2
or do you always	2
do nothing for them	2
the house of my	2
on as fast as	2
and the earth groaned	2
matter of public moment	2
mighty ilius shall be	2
the roof and broke	2
this minerva went away	2
they reached the house	2
and did not pierce	2
the front like a	2
man ever yet gave	2
long an absence he	2
have mercy upon us	2
hold my own if	2
that walks in darkness	2
so much stronger than	2
places in the chariot	2
placed the double cup	2
none other of the	2
uprose great ajax the	2
a man of many	2
so many of them	2
and drove them from	2
the place where his	2
make him forget his	2
counsellor and orator among	2
telemachus followed in her	2
all kinds under vulcan	2
have come to a	2
were they that dwelt	2
and peace of mind	2
stream of the hellespont	2
when she saw him	2
rest swear to a	2
in the world whom	2
after he had sacked	2
have his escort inasmuch	2
salt with their food	2
for it is decreed	2
was turning his horses	2
would have it so	2
i tended him as	2
on to the chariot	2
come back to you	2
both him and his	2
which they had killed	2
and to all the	2
the gleam of bronze	2
tears fell from his	2
together in one place	2
of my father who	2
so that i have	2
say what i mean	2
and divided it into	2
the noblest of the	2
of his shield with	2
i am the only	2
there is an island	2
tripods that have never	2
finish it whether she	2
take the ship on	2
that had been awarded	2
dardanians good in close	2
people have taken heart	2
he bids you get	2
their white sails aloft	2
they rallied and again	2
his funeral rites with	2
for he was ever	2
the blind theban prophet	2
town from the country	2
for it was with	2
back to the suitors	2
in the right shoulder	2
and men dragging the	2
set my heart on	2
the hour of your	2
towards the time when	2
house and busy yourself	2
bids you come to	2
the fury with which	2
stung me to the	2
set a tripod full	2
was that had been	2
me have a good	2
you will have better	2
the waster of cities	2
she said to minerva	2
or lycian archer has	2
flowing from the wound	2
the daughter of neleus	2
of fury against the	2
do battle with the	2
which the phaeacians had	2
after him i saw	2
was set out for	2
wits because you beat	2
him as he went	2
the trojan and achaean	2
breast and kill him	2
back again to olympus	2
friend of my father	2
your wits because you	2
for he was about	2
while i yet live	2
give him to me	2
whom he could trust	2
to the ford of	2
stay by them and	2
who are devouring your	2
haste to do so	2
to many a tramp	2
hector who has slain	2
the splendour of olympus	2
for he is now	2
you to his own	2
achaeans should perish ingloriously	2
a long time she	2
the city of king	2
of any pity for	2
to deal out death	2
on this he gave	2
the slow still currents	2
of twisted ox hide	2
so that he lay	2
it may so be	2
gleamed in front of	2
she came to me	2
honour you as a	2
she went up to	2
whom the sons of	2
brave son of euaemon	2
ill deeds in the	2
one who will give	2
spear of menelaus struck	2
no thanks for all	2
with twisted thongs of	2
with such men as	2
a chief among us	2
splendour was as that	2
just as he had	2
he spoke he struck	2
the men that dwell	2
on the chest with	2
with this the son	2
can not defend themselves	2
they called them and	2
as though of their	2
do not seem to	2
with the queen his	2
back as fast as	2
led the way into	2
and stripped them of	2
the cowardice of our	2
with a golden goblet	2
presently the sun set	2
that nothing can now	2
the city of ithaca	2
one against the other	2
when they are dead	2
man that he was	2
who persist in eating	2
jove the protector of	2
they had been born	2
and among mortal men	2
decide between us and	2
who have ever fought	2
of the sea have	2
house there shall be	2
the greater part of	2
me to the heart	2
whom there is no	2
one another with their	2
worn out with age	2
placed them in ambuscade	2
one voice were for	2
had not yet been	2
surely come when mighty	2
four hides thick about	2
not let yourselves be	2
that protectest chryse and	2
being alive at the	2
let me set refreshment	2
has never gone up	2
great store of gold	2
mighty was the din	2
hosts of the achaeans	2
and thrice did he	2
off the body of	2
was now in her	2
him and cried with	2
gods was it that	2
you are going to	2
of the wicked suitors	2
as many flocks of	2
the day when he	2
standing on his chariot	2
are not to my	2
there came eighty ships	2
who was sitting near	2
and they have come	2
put courage into his	2
the hands of jove	2
so as to prevent	2
or it shall be	2
that we have taken	2
she wanted ulysses to	2
so fair and new	2
rest each in his	2
threw him so heavily	2
ships in the river	2
of the north wind	2
spear eleven cubits long	2
comfort in the sharing	2
there is an old	2
he is far the	2
by the trojans and	2
may it be even	2
put on our armour	2
him in spite of	2
on the crests of	2
ulysses reveals himself to	2
achilles went inside his	2
i will go and	2
to which i have	2
which of the heavenly	2
all the world over	2
the neck from the	2
i am son to	2
the wine in the	2
a list of the	2
nor been with her	2
to him in the	2
the trojans would now	2
him will i follow	2
when she had said	2
we have beaten them	2
as she looked upon	2
back upon the ships	2
but we will make	2
bellowed as they flew	2
to the trojans to	2
went round and round	2
him to speak the	2
of their own strength	2
and be obedient to	2
alike of trojans and	2
turned away from the	2
find a better saying	2
in all my house	2
he had sacked the	2
flying in the wind	2
and served it round	2
always babble in this	2
know more about it	2
great fear for the	2
that he was going	2
lambs in his honour	2
of the inward meats	2
that you are afraid	2
add yet further of	2
and see how he	2
of the crowd and	2
going to see you	2
upon his head and	2
till i have completed	2
can you not see	2
in any other part	2
the nymphs that haunt	2
son of saturn will	2
on this he broke	2
wine in the mixing	2
do what i say	2
him as he did	2
was hunting on mt	2
and that he is	2
i met a man	2
will be in a	2
open the dense cloud	2
they perished through their	2
and destruction on the	2
and the blessed gods	2
and though he was	2
so that i can	2
hades and to proserpine	2
many a heavy sigh	2
king of the thesprotians	2
a man born to	2
on the ground with	2
a woman when she	2
tell her that her	2
saying than this if	2
having held aloof so	2
came into the fight	2
and wounded her in	2
to set eyes upon	2
from all our islands	2
into the nape of	2
tempts people to use	2
the hand of a	2
all plainness exactly what	2
naiad nymph had borne	2
them to the house	2
under the wooded mountain	2
but i have never	2
in presence of the	2
it there was a	2
we caught her in	2
see how they are	2
make for yet another	2
he is coming home	2
when agamemnon is wounded	2
mercy upon me and	2
the first to kill	2
to what i am	2
her way till she	2
now the gods were	2
i know you will	2
hear any groaning or	2
milked his ewes and	2
let us then be	2
even though he be	2
it there is a	2
he had just come	2
quivering till mars robbed	2
first on one side	2
wind and helmsman headed	2
his return home may	2
my house under the	2
a cloak over him	2
without the knowledge of	2
the cause of king	2
fighting on the extreme	2
we keep each other	2
went out to meet	2
and answering one another	2
rang again with the	2
among the ships of	2
them with words of	2
make a stand and	2
the men of phthia	2
lost and no help	2
when the days are	2
then soon fall beneath	2
this she left them	2
though they be but	2
fair to see but	2
side and then on	2
the youngest of the	2
shirt so fair and	2
to him and rebuked	2
this was what minerva	2
i could not make	2
them when the man	2
for hector and the	2
or ten thousand men	2
another went against the	2
the root of his	2
as the flame played	2
about the belly of	2
to go up to	2
hind might as well	2
nectar and ambrosia into	2
it is all over	2
as i then was	2
was all the time	2
was the handsomest man	2
come into the town	2
why should you thus	2
then all of a	2
alone in the dead	2
you may be disposed	2
where the fight was	2
front of the battle	2
to ulysses he said	2
send an arrow at	2
the sternness with which	2
led him into the	2
he will yet lay	2
bosom of the sea	2
his horses towards the	2
the trojans over against	2
for he will take	2
you up when you	2
the hosts aimed their	2
which none could either	2
might he could not	2
was very fond of	2
he was just about	2
he was in the	2
night may not be	2
of which i am	2
when the water in	2
euryclea did as she	2
wise after the event	2
to defend their ships	2
who had killed so	2
they hoisted their white	2
two days and two	2
sprinkling the barley meal	2
he saw the trojans	2
i took from asteropaeus	2
to argos and the	2
doors of the women	2
had reached the scaean	2
have had trouble enough	2
cup of rare workmanship	2
a man as you	2
he dived under the	2
with the pair of	2
how i may sail	2
mast in its socket	2
it all quite clear	2
leave off fighting and	2
send down thy grace	2
the back of his	2
of tydeus was in	2
on the seat from	2
them all in valour	2
and drew the spear	2
for they had not	2
safely over the sea	2
for he has no	2
the carver fetched them	2
send the slayer of	2
of the old man	2
to shun the island	2
gods and men smiled	2
mantle over his head	2
son of atreus went	2
be more respected and	2
the respect due to	2
her own young one	2
seven and ten did	2
myself into the sea	2
doom has long been	2
said to the argives	2
find a grave themselves	2
be a way through	2
sped not from his	2
the present let us	2
to leave off fighting	2
you would not care	2
they cut off his	2
one who has the	2
into an upper chamber	2
one of the ever	2
ranks of the enemy	2
he did not think	2
leaders of the argives	2
sight of arms sometimes	2
in the habit of	2
as a wild boar	2
and do battle without	2
best man of those	2
the blast of the	2
about the roots of	2
the trojans and on	2
grew dark beneath it	2
them and play his	2
have too much on	2
who had just come	2
head and shoulders as	2
and took her hand	2
with my sword drawn	2
let another do so	2
rowing out to sea	2
going upstairs with her	2
of the sun or	2
her handmaids into her	2
at one of the	2
what you are about	2
and gallops gloriously over	2
and so also with	2
he was angry with	2
and he will go	2
was a great man	2
jove to take all	2
but ere long he	2
had thus said the	2
him of another matter	2
feed in the forest	2
would not let him	2
to dodona that he	2
the fight with the	2
two minds whether or	2
twelve cloaks of single	2
the lives of many	2
you bid me tell	2
to see if they	2
and keep the son	2
the days are at	2
number of them there	2
the great son of	2
in the likeness and	2
and there were two	2
whether of face or	2
i was forced to	2
men of ithaca itself	2
hung by my sturdy	2
in defiance of jove	2
gathered the reins in	2
among the argives saying	2
he may offer me	2
drawn into the water	2
but when it was	2
who had every good	2
who will essay this	2
finest and most precious	2
a mountain top and	2
mouths of all men	2
by the ships of	2
the wall in force	2
neither eat nor drink	2
his eyes flashed fire	2
i go within the	2
it glittered like a	2
i will take you	2
in days gone by	2
but i could not	2
i would have you	2
made their drink offerings	2
told the men to	2
but agamemnon struck him	2
suitors were throwing discs	2
thus he spoke and	2
his staff in his	2
the same way that	2
may see it with	2
and shouted out to	2
who had seduced her	2
shown himself after having	2
in the hut with	2
it be that my	2
is inlaid with gold	2
of oceanus and the	2
middle of it there	2
on the rich plains	2
all near the sea	2
should come to me	2
who had been a	2
when he got there	2
took mars by the	2
after they have been	2
palace of king alcinous	2
hardly done speaking when	2
for the ship is	2
and raiment than he	2
valiant though he be	2
at the shield of	2
of them applauded his	2
of his hands as	2
pretext of paying court	2
immortals it is that	2
on the deck of	2
back into the crowd	2
a man who is	2
by far the most	2
disgrace both banquet and	2
this part of the	2
have never yet felt	2
hector saw him he	2
the helmet did not	2
shut up in the	2
of the sun they	2
there is a time	2
the bronze point went	2
way of the smoke	2
water over their hands	2
pronged spits in their	2
then go off to	2
they drew the vessel	2
lies upon the chalk	2
that you may take	2
let his mother and	2
for she is a	2
may not be well	2
to quarrel over their	2
the pyre with good	2
with all their old	2
and asked me to	2
two sons of antenor	2
him did you then	2
forewarn you of the	2
he will not be	2
a dove in its	2
send you wherever you	2
so angry that they	2
of the battle where	2
have died at troy	2
threw a cloak over	2
the notch of the	2
the outer meats were	2
in a body to	2
both for us and	2
to the gods and	2
and the spear struck	2
scales of victory in	2
all of them be	2
under a high mountain	2
and their hearts beat	2
his armour and his	2
when he heard it	2
down to the ship	2
this he donned the	2
will put up with	2
all the gates were	2
need not be afraid	2
been the source of	2
form of a woman	2
the sight of his	2
loth towards the ships	2
the shirt of jove	2
they sat side by	2
the sad spirit of	2
passed the night and	2
to gather the corpses	2
shelter from the winds	2
his spear in the	2
rob me of the	2
in phylace away from	2
full of bath water	2
who was father to	2
jove shall reckon with	2
may i never live	2
his head fell rolling	2
my hand till i	2
and may the gods	2
ranks of the achaeans	2
and now that you	2
so that land and	2
groaning or uproar as	2
bring the contest to	2
will not kill you	2
then he sprang upon	2
loudly over him saying	2
and sprang upon him	2
come near the blood	2
earth below be my	2
old nestor whose counsel	2
his friend and comrade	2
take the body to	2
then arete told her	2
by every kind of	2
the people have never	2
out of house and	2
with the waters of	2
no estate can stand	2
short work with the	2
upon the plain of	2
thrust a spear into	2
main body of the	2
is a branch of	2
